PV,elemIndex,elemPosition,elemLength,machine,elemName,elemHandle,elemField,elemType
V_1:LS1_CA01:CAV1_D1127:PHA_CSET,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,setpoint,PHA,CAV
V_1:LS1_CA01:CAV1_D1127:PHA_RSET,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,readset,PHA,CAV
V_1:LS1_CA01:CAV1_D1127:PHA_RD,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,readback,PHA,CAV
V_1:LS1_CA01:CAV1_D1127:AMPL_CSET,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,setpoint,AMP,CAV
V_1:LS1_CA01:CAV1_D1127:AMPL_RSET,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,readset,AMP,CAV
V_1:LS1_CA01:CAV1_D1127:AMPL_RD,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,readback,AMP,CAV
V_1:LS1_CA01:BPM_D1129:X_RD,5,0.51132684,0.0,V_1,LS1_CA01:BPM_D1129,readback,X,BPM
V_1:LS1_CA01:BPM_D1129:Y_RD,5,0.51132684,0.0,V_1,LS1_CA01:BPM_D1129,readback,Y,BPM
V_1:LS1_CA01:BPM_D1129:PHA_RD,5,0.51132684,0.0,V_1,LS1_CA01:BPM_D1129,readback,PHA,BPM
V_1:LS1_CA01:BPM_D1129:ENG_RD,5,0.51132684,0.0,V_1,LS1_CA01:BPM_D1129,readback,ENG,BPM
V_1:LS1_CA01:SOL1_D1131:B_CSET,8,0.74333034,0.1,V_1,LS1_CA01:SOL1_D1131,setpoint,B,SOL
V_1:LS1_CA01:SOL1_D1131:B_RSET,8,0.74333034,0.1,V_1,LS1_CA01:SOL1_D1131,readset,B,SOL
V_1:LS1_CA01:SOL1_D1131:B_RD,8,0.74333034,0.1,V_1,LS1_CA01:SOL1_D1131,readback,B,SOL
V_1:LS1_CA01:DCH_D1131:ANG_CSET,9,0.74333034,0.0,V_1,LS1_CA01:DCH_D1131,setpoint,ANG,HCOR
V_1:LS1_CA01:DCH_D1131:ANG_RSET,9,0.74333034,0.0,V_1,LS1_CA01:DCH_D1131,readset,ANG,HCOR
V_1:LS1_CA01:DCH_D1131:ANG_RD,9,0.74333034,0.0,V_1,LS1_CA01:DCH_D1131,readback,ANG,HCOR
V_1:LS1_CA01:DCV_D1131:ANG_CSET,10,0.74333034,0.0,V_1,LS1_CA01:DCV_D1131,setpoint,ANG,VCOR
V_1:LS1_CA01:DCV_D1131:ANG_RSET,10,0.74333034,0.0,V_1,LS1_CA01:DCV_D1131,readset,ANG,VCOR
V_1:LS1_CA01:DCV_D1131:ANG_RD,10,0.74333034,0.0,V_1,LS1_CA01:DCV_D1131,readback,ANG,VCOR
V_1:LS1_CA01:SOL1_D1131:B_CSET,11,0.84333034,0.1,V_1,LS1_CA01:SOL1_D1131,setpoint,B,SOL
V_1:LS1_CA01:SOL1_D1131:B_RSET,11,0.84333034,0.1,V_1,LS1_CA01:SOL1_D1131,readset,B,SOL
V_1:LS1_CA01:SOL1_D1131:B_RD,11,0.84333034,0.1,V_1,LS1_CA01:SOL1_D1131,readback,B,SOL
