name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
FE_ISRC1:ACC_DFT_D0700_1,DRIFT,0.01685413,69.9825679314,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_42
FE_ISRC1:ACC_DFT_D0700_2,DRIFT,0.1905,70.0862449964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_43
FE_ISRC1:ACC_DFT_D0700_3,DRIFT,0.0255,70.1942449964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_44
FE_SCS1:SOLR_D0704,SOL,0.3998,70.4068949964,0.15,0.15,SCS1,SOL_S4b,FE,D0704,SOLR,solenoid
FE_SCS1:SOLR_DFT_D0704,DRIFT,0.1251,70.6693449964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_46
FE_SCS1:TMP_D0707,PORT,0.0,70.7318949964,0.15,0.15,SCS1,TMP_M,FE,D0707,TMP,"turbo pump, 700 l/s"
FE_SCS1:TMP_DFT_D0707,DRIFT,0.11975,70.7917699964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_48
FE_SCS1:DCHV_D0709,COR,0.1905,70.9468949964,0.15,0.15,SCS1,C4,FE,D0709,DCHV,corrector magnet & bellow
FE_SCS1:DCH_D0709,HCOR,0.0,70.9468949964,0.15,0.15,SCS1,C4,FE,D0709,DCH,horiz. corrector magnet
FE_SCS1:DCV_D0709,VCOR,0.0,70.9468949964,0.15,0.15,SCS1,C4,FE,D0709,DCV,vert. corrector magnet
FE_SCS1:DCHV_DFT_D0709,DRIFT,0.13975,71.1120199964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_51
FE_SCS1:DH_D0717,BEND,1.0,71.6818949964,0.15,0.12,SCS1,BEND_D5,FE,D0717,DH,"dipole-90deg, D5-1"
FE_SCS1:TMP_D0717,PORT,0.0,72.1818949964,0.15,0.12,SCS1,TMP_M,FE,D0717,TMP,"turbo pump, 700 l/s"
FE_SCS1:TMP_DFT_D0717,DRIFT,0.06705,72.2154199964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_56
FE_SCS1:DCHV_D0723,COR,0.1905,72.3441949964,0.15,0.15,SCS1,C4,FE,D0723,DCHV,corrector magnet & bellow
FE_SCS1:DCH_D0723,HCOR,0.0,72.3441949964,0.15,0.15,SCS1,C4,FE,D0723,DCH,horiz. corrector magnet
FE_SCS1:DCV_D0723,VCOR,0.0,72.3441949964,0.15,0.15,SCS1,C4,FE,D0723,DCV,vert. corrector magnet
FE_SCS1:DCHV_DFT_D0723,DRIFT,0.08985,72.4843699964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_58
FE_SCS1:QHE_D0726,EQUAD,0.2052,72.6318949964,0.15,0.15,SCS1,QUAD_Q7,FE,D0726,QE,ES_quad_X
FE_SCS1:QE_DFT_D0726,DRIFT,0.1298,72.7993949964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_60
FE_SCS1:QVE_D0730,EQUAD,0.2052,72.9668949964,0.15,0.15,SCS1,QUAD_Q7,FE,D0730,QE,ES_quad_Y
FE_SCS1:QE_DFT_D0730,DRIFT,0.1298,73.1343949964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_62
FE_SCS1:QHE_D0733,EQUAD,0.2052,73.3018949964,0.15,0.15,SCS1,QUAD_Q7,FE,D0733,QE,ES_quad_X
FE_SCS1:QE_DFT_D0733,DRIFT,0.22561198,73.5173009864,0.15,0.15,NONE,NONE,NONE,NONE,NONE,bellow+box
FE_SCS1:SLT_D0736,SLT,0.0,73.6301069764,0.15,0.15,SCS1,None,FE,D0736,SLT,four jaw collimator
FE_SCS1:SLT_DFT_D0736,DRIFT,0.021,73.6406069764,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_66
FE_SCS1:TMP_D0737,PORT,0.0,73.6511069764,0.15,0.15,SCS1,TMP_M,FE,D0737,TMP,"turbo pump, 700 l/s"
FE_SCS1:TMP_DFT_D0737,DRIFT,0.11811,73.7101619764,0.15,0.15,NONE,NONE,NONE,NONE,NONE,box
FE_SCS1:FC_D0738,FC,0.0,73.7692169764,0.15,0.15,SCS1,FC2,FE,D0738,FC,Faraday cup
FE_SCS1:FC_DFT_D0738,DRIFT,0.18034,73.8593869764,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_70
FE_SCS1:VD_D0739,VD,0.0,73.9495569764,0.15,0.15,SCS1,V1,FE,D0739,VD,viewer
FE_SCS1:EMS_D0739,EMS,0.0,73.9495569764,0.15,0.15,SCS1,EM1,FE,D0739,EMS,emittance scanner (x & y)
FE_SCS1:EMS_DFT_D0739,DRIFT,0.20973802,74.0544259864,0.15,0.15,NONE,NONE,NONE,NONE,NONE,bellow+box
FE_SCS1:QHE_D0743,EQUAD,0.2052,74.2618949964,0.15,0.15,SCS1,QUAD_Q7,FE,D0743,QE,ES_quad_X
FE_SCS1:QE_DFT_D0743,DRIFT,0.1298,74.4293949964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_75
FE_SCS1:QVE_D0746,EQUAD,0.2052,74.5968949964,0.15,0.15,SCS1,QUAD_Q7,FE,D0746,QE,ES_quad_Y
FE_SCS1:QE_DFT_D0746,DRIFT,0.1298,74.7643949964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_77
FE_SCS1:QHE_D0749,EQUAD,0.2052,74.9318949964,0.15,0.15,SCS1,QUAD_Q7,FE,D0749,QE,ES_quad_X
FE_SCS1:QE_DFT_D0749,DRIFT,0.146994,75.1079919964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,bellow
FE_SCS1:GV_D0752,VALVE,0.080264,75.2216209964,0.15,0.15,SCS1,NONE,FE,D0752,GV,gate valve
FE_SCS1:GV_DFT_D0752,DRIFT,0.120142,75.3218239964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_81
FE_LEBT:DH_D0759,BEND,1.0,75.8818949964,0.15,0.12,LEBT,BEND_D5,FE,D0759,DH,"dipole-90deg, D5-2"
FE_LEBT:DH_DFT_D0759,DRIFT,0.2224,76.4930949964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_83
FE_LEBT:QVE_D0767,EQUAD,0.2052,76.7068949964,0.15,0.15,LEBT,QUAD_Q7,FE,D0767,QE,ES_quad_Y
FE_LEBT:QE_DFT_D0767,DRIFT,0.1298,76.8743949964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_85
FE_LEBT:QHE_D0770,EQUAD,0.2052,77.0418949964,0.15,0.15,LEBT,QUAD_Q7,FE,D0770,QE,ES_quad_X
