name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
FE_SCS1:TMP_D0707,PORT,0.0,70.7318949964,0.15,0.15,SCS1,TMP_M,FE,NONE,TMP,"turbo pump, 700 l/s"
DRIFT,DRIFT,0.11975,70.7917699964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_48
FE_SCS1:DCHV_D0709,COR,0.1905,70.9468949964,0.15,0.15,SCS1,C4,FE,D0709,DCHV,corrector magnet & bellow
FE_SCS1:DCH_D0709,HCOR,0.0,70.9468949964,0.15,0.15,SCS1,C4,FE,D0709,DCH,horiz. corrector magnet
FE_SCS1:DCV_D0709,VCOR,0.0,70.9468949964,0.15,0.15,SCS1,C4,FE,D0709,DCV,vert. corrector magnet
DRIFT,DRIFT,0.13975,71.1120199964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_51
FE_SCS1:DH_D0717,BEND,1.0,71.6818949964,0.15,0.12,SCS1,BEND_D5,FE,D0717,DH,"dipole-90deg, D5-1"
FE_SCS1:TMP_D0717,PORT,0.0,72.1818949964,0.15,0.12,SCS1,TMP_M,FE,NONE,TMP,"turbo pump, 700 l/s"
DRIFT,DRIFT,0.06705,72.2154199964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_56
FE_SCS1:DCHV_D0723,COR,0.1905,72.3441949964,0.15,0.15,SCS1,C4,FE,D0723,DCHV,corrector magnet & bellow
FE_SCS1:DCH_D0723,HCOR,0.0,72.3441949964,0.15,0.15,SCS1,C4,FE,D0723,DCH,horiz. corrector magnet
FE_SCS1:DCV_D0723,VCOR,0.0,72.3441949964,0.15,0.15,SCS1,C4,FE,D0723,DCV,vert. corrector magnet
DRIFT,DRIFT,0.09245,72.4856699964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_58
FE_SCS1:QHE_D0726,EQUAD,0.2,72.6318949964,0.15,0.15,SCS1,QUAD_Q7,FE,D0726,QE,ES_quad_X
DRIFT,DRIFT,0.135,72.7993949964,0.15,0.15,NONE,NONE,NONE,NONE,NONE,drift_60
