name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
LS1_CA01:CAV1_D1127,CAV,0.24,112.71008196,0.036,0.036,CA01,CAV_B04,LS1,D1127,CAV1,b04 resonator
LS1_CA01:BLM_D1128,BLM,0.0,112.80176346,0.036,0.036,CA01,NONE,LS1,NONE,BLM,outside loss monitor
DRIFT,DRIFT,0.0681915,112.87833696,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CA01:BPM_D1129,BPM,0.0,112.89827346,0.04,0.04,CA01,BPM6,LS1,D1129,BPM,"position monitor, BPMc"
DRIFT,DRIFT,0.05588,112.92621346,0.04,0.04,NONE,NONE,NONE,NONE,NONE,BPM-box
DRIFT,DRIFT,0.1032065,113.01825671,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
LS1_CA01:SOL1_D1132,SOLCOR,0.2,113.15735996,0.04,0.04,CA01,SOL_S1,LS1,D1132,SOL1,solenoid+correctors
LS1_CA01:DCH_D1132,HCOR,0.0,113.15735996,0.04,0.04,CA01,S1,LS1,D1132,DCH,horiz. corrector magnet
LS1_CA01:DCV_D1132,VCOR,0.0,113.15735996,0.04,0.04,CA01,S1,LS1,D1132,DCV,vert. corrector magnet
DRIFT,DRIFT,0.1032065,113.29646321,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
DRIFT,DRIFT,0.0711985,113.38200646,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CA01:CAV2_D1136,CAV,0.24,113.55176496,0.036,0.036,CA01,CAV_B04,LS1,D1136,CAV2,b04 resonator
DRIFT,DRIFT,0.393556,113.86854296,0.036,0.036,NONE,NONE,NONE,NONE,NONE,2 bellows + tube
LS1_CA01:CAV3_D1142,CAV,0.24,114.18532096,0.036,0.036,CA01,CAV_B04,LS1,D1142,CAV3,b04 resonator
LS1_CA01:BLM_D1143,BLM,0.0,114.27700246,0.036,0.036,CA01,NONE,LS1,NONE,BLM,outside loss monitor
DRIFT,DRIFT,0.0681915,114.35357596,0.036,0.036,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CA01:BPM_D1144,BPM,0.0,114.37351246,0.04,0.04,CA01,BPM6,LS1,D1144,BPM,"position monitor, BPMc"
DRIFT,DRIFT,0.05588,114.40145246,0.04,0.04,NONE,NONE,NONE,NONE,NONE,BPM-box
DRIFT,DRIFT,0.1032065,114.49349571,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
LS1_CA01:SOL2_D1146,SOLCOR,0.2,114.63259896,0.04,0.04,CA01,SOL_S1,LS1,D1146,SOL2,solenoid+correctors
LS1_CA01:DCH_D1146,HCOR,0.0,114.63259896,0.04,0.04,CA01,S1,LS1,D1146,DCH,horiz. corrector magnet
LS1_CA01:DCV_D1146,VCOR,0.0,114.63259896,0.04,0.04,CA01,S1,LS1,D1146,DCV,vert. corrector magnet
DRIFT,DRIFT,0.1032065,114.77170221,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
DRIFT,DRIFT,0.0711985,114.85724546,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CA01:CAV4_D1150,CAV,0.24,115.02700396,0.036,0.036,CA01,CAV_B04,LS1,D1150,CAV4,b04 resonator
DRIFT,DRIFT,0.1606825,115.24150446,0.036,0.036,NONE,NONE,NONE,NONE,NONE,bellows
LS1_CA01:GV_D1153,VALVE,0.057404,115.33638846,0.04,0.04,CA01,NONE,LS1,NONE,GV,gate valve
DRIFT,DRIFT,0.103502,115.41684146,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_WA01:BPM_D1155,BPM,0.0,115.46859246,0.04,0.04,WA01,BPM2,LS1,D1155,BPM,position monitor
DRIFT,DRIFT,0.145282,115.54123346,0.04,0.04,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_WA01:BL_D1156,BL,0.0,115.61387446,0.04,0.04,WA01,LPMx,LS1,NONE,BL,bunch length monitor  (not costed)
DRIFT,DRIFT,0.0,115.61387446,0.04,0.04,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_WA01:IP_D1156,PORT,0.0,115.61387446,0.04,0.04,WA01,IP_S,LS1,NONE,IP,"ion pump, 75 l/s"
DRIFT,DRIFT,0.131216,115.67948246,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CA02:GV_D1158,VALVE,0.057404,115.77379246,0.04,0.04,CA02,NONE,LS1,NONE,GV,gate valve
DRIFT,DRIFT,0.1606825,115.86867646,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellows
LS1_CA02:CAV1_D1161,CAV,0.24,116.08317696,0.036,0.036,CA02,CAV_B04,LS1,D1161,CAV1,b04 resonator
LS1_CA02:BLM_D1162,BLM,0.0,116.17485846,0.036,0.036,CA02,NONE,LS1,NONE,BLM,outside loss monitor
DRIFT,DRIFT,0.0681915,116.25143196,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CA02:BPM_D1163,BPM,0.0,116.27136846,0.04,0.04,CA02,BPM6,LS1,D1163,BPM,"position monitor, BPMc"
DRIFT,DRIFT,0.05588,116.29930846,0.04,0.04,NONE,NONE,NONE,NONE,NONE,BPM-box
DRIFT,DRIFT,0.1032065,116.39135171,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
LS1_CA02:SOL1_D1165,SOLCOR,0.2,116.53045496,0.04,0.04,CA02,SOL_S1,LS1,D1165,SOL1,solenoid+correctors
LS1_CA02:DCH_D1165,HCOR,0.0,116.53045496,0.04,0.04,CA02,S1,LS1,D1165,DCH,horiz. corrector magnet
LS1_CA02:DCV_D1165,VCOR,0.0,116.53045496,0.04,0.04,CA02,S1,LS1,D1165,DCV,vert. corrector magnet
DRIFT,DRIFT,0.1032065,116.66955821,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
DRIFT,DRIFT,0.0711985,116.75510146,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CA02:CAV2_D1169,CAV,0.24,116.92485996,0.036,0.036,CA02,CAV_B04,LS1,D1169,CAV2,b04 resonator
DRIFT,DRIFT,0.393556,117.24163796,0.036,0.036,NONE,NONE,NONE,NONE,NONE,2 bellows + tube
