s,name,pv_x,pv_y,pv_pha,pv_mag,pv_x_ref,pv_y_ref,pv_pha_ref,pv_mag_ref,pv_dx_ref,pv_dy_ref,pv_dpha_ref,pv_mag_ratio
105.58873,FE_MEBT:BPM_D1056,FE_MEBT:BPM_D1056:XPOS_RD,FE_MEBT:BPM_D1056:YPOS_RD,FE_MEBT:BPM_D1056:PHASE_RD,FE_MEBT:BPM_D1056:MAG_RD,FE_MEBT:BPM_D1056:XPOS_REF_RD,FE_MEBT:BPM_D1056:YPOS_REF_RD,FE_MEBT:BPM_D1056:PHASE_REF_RD,FE_MEBT:BPM_D1056:MAG_REF_RD,FE_MEBT:BPM_D1056:XPOS_DRDREF,FE_MEBT:BPM_D1056:YPOS_DRDREF,FE_MEBT:BPM_D1056:PHASE_DRDREF,FE_MEBT:BPM_D1056:MAG_RATIO
107.242937,FE_MEBT:BPM_D1072,FE_MEBT:BPM_D1072:XPOS_RD,FE_MEBT:BPM_D1072:YPOS_RD,FE_MEBT:BPM_D1072:PHASE_RD,FE_MEBT:BPM_D1072:MAG_RD,FE_MEBT:BPM_D1072:XPOS_REF_RD,FE_MEBT:BPM_D1072:YPOS_REF_RD,FE_MEBT:BPM_D1072:PHASE_REF_RD,FE_MEBT:BPM_D1072:MAG_REF_RD,FE_MEBT:BPM_D1072:XPOS_DRDREF,FE_MEBT:BPM_D1072:YPOS_DRDREF,FE_MEBT:BPM_D1072:PHASE_DRDREF,FE_MEBT:BPM_D1072:MAG_RATIO
109.38521,FE_MEBT:BPM_D1094,FE_MEBT:BPM_D1094:XPOS_RD,FE_MEBT:BPM_D1094:YPOS_RD,FE_MEBT:BPM_D1094:PHASE_RD,FE_MEBT:BPM_D1094:MAG_RD,FE_MEBT:BPM_D1094:XPOS_REF_RD,FE_MEBT:BPM_D1094:YPOS_REF_RD,FE_MEBT:BPM_D1094:PHASE_REF_RD,FE_MEBT:BPM_D1094:MAG_REF_RD,FE_MEBT:BPM_D1094:XPOS_DRDREF,FE_MEBT:BPM_D1094:YPOS_DRDREF,FE_MEBT:BPM_D1094:PHASE_DRDREF,FE_MEBT:BPM_D1094:MAG_RATIO
111.100147,FE_MEBT:BPM_D1111,FE_MEBT:BPM_D1111:XPOS_RD,FE_MEBT:BPM_D1111:YPOS_RD,FE_MEBT:BPM_D1111:PHASE_RD,FE_MEBT:BPM_D1111:MAG_RD,FE_MEBT:BPM_D1111:XPOS_REF_RD,FE_MEBT:BPM_D1111:YPOS_REF_RD,FE_MEBT:BPM_D1111:PHASE_REF_RD,FE_MEBT:BPM_D1111:MAG_REF_RD,FE_MEBT:BPM_D1111:XPOS_DRDREF,FE_MEBT:BPM_D1111:YPOS_DRDREF,FE_MEBT:BPM_D1111:PHASE_DRDREF,FE_MEBT:BPM_D1111:MAG_RATIO
112.898273,LS1_CA01:BPM_D1129,LS1_CA01:BPM_D1129:XPOS_RD,LS1_CA01:BPM_D1129:YPOS_RD,LS1_CA01:BPM_D1129:PHASE_RD,LS1_CA01:BPM_D1129:MAG_RD,LS1_CA01:BPM_D1129:XPOS_REF_RD,LS1_CA01:BPM_D1129:YPOS_REF_RD,LS1_CA01:BPM_D1129:PHASE_REF_RD,LS1_CA01:BPM_D1129:MAG_REF_RD,LS1_CA01:BPM_D1129:XPOS_DRDREF,LS1_CA01:BPM_D1129:YPOS_DRDREF,LS1_CA01:BPM_D1129:PHASE_DRDREF,LS1_CA01:BPM_D1129:MAG_RATIO
114.373512,LS1_CA01:BPM_D1144,LS1_CA01:BPM_D1144:XPOS_RD,LS1_CA01:BPM_D1144:YPOS_RD,LS1_CA01:BPM_D1144:PHASE_RD,LS1_CA01:BPM_D1144:MAG_RD,LS1_CA01:BPM_D1144:XPOS_REF_RD,LS1_CA01:BPM_D1144:YPOS_REF_RD,LS1_CA01:BPM_D1144:PHASE_REF_RD,LS1_CA01:BPM_D1144:MAG_REF_RD,LS1_CA01:BPM_D1144:XPOS_DRDREF,LS1_CA01:BPM_D1144:YPOS_DRDREF,LS1_CA01:BPM_D1144:PHASE_DRDREF,LS1_CA01:BPM_D1144:MAG_RATIO
115.468592,LS1_WA01:BPM_D1155,LS1_WA01:BPM_D1155:XPOS_RD,LS1_WA01:BPM_D1155:YPOS_RD,LS1_WA01:BPM_D1155:PHASE_RD,LS1_WA01:BPM_D1155:MAG_RD,LS1_WA01:BPM_D1155:XPOS_REF_RD,LS1_WA01:BPM_D1155:YPOS_REF_RD,LS1_WA01:BPM_D1155:PHASE_REF_RD,LS1_WA01:BPM_D1155:MAG_REF_RD,LS1_WA01:BPM_D1155:XPOS_DRDREF,LS1_WA01:BPM_D1155:YPOS_DRDREF,LS1_WA01:BPM_D1155:PHASE_DRDREF,LS1_WA01:BPM_D1155:MAG_RATIO
116.271368,LS1_CA02:BPM_D1163,LS1_CA02:BPM_D1163:XPOS_RD,LS1_CA02:BPM_D1163:YPOS_RD,LS1_CA02:BPM_D1163:PHASE_RD,LS1_CA02:BPM_D1163:MAG_RD,LS1_CA02:BPM_D1163:XPOS_REF_RD,LS1_CA02:BPM_D1163:YPOS_REF_RD,LS1_CA02:BPM_D1163:PHASE_REF_RD,LS1_CA02:BPM_D1163:MAG_REF_RD,LS1_CA02:BPM_D1163:XPOS_DRDREF,LS1_CA02:BPM_D1163:YPOS_DRDREF,LS1_CA02:BPM_D1163:PHASE_DRDREF,LS1_CA02:BPM_D1163:MAG_RATIO
117.746607,LS1_CA02:BPM_D1177,LS1_CA02:BPM_D1177:XPOS_RD,LS1_CA02:BPM_D1177:YPOS_RD,LS1_CA02:BPM_D1177:PHASE_RD,LS1_CA02:BPM_D1177:MAG_RD,LS1_CA02:BPM_D1177:XPOS_REF_RD,LS1_CA02:BPM_D1177:YPOS_REF_RD,LS1_CA02:BPM_D1177:PHASE_REF_RD,LS1_CA02:BPM_D1177:MAG_REF_RD,LS1_CA02:BPM_D1177:XPOS_DRDREF,LS1_CA02:BPM_D1177:YPOS_DRDREF,LS1_CA02:BPM_D1177:PHASE_DRDREF,LS1_CA02:BPM_D1177:MAG_RATIO
118.841687,LS1_WA02:BPM_D1188,LS1_WA02:BPM_D1188:XPOS_RD,LS1_WA02:BPM_D1188:YPOS_RD,LS1_WA02:BPM_D1188:PHASE_RD,LS1_WA02:BPM_D1188:MAG_RD,LS1_WA02:BPM_D1188:XPOS_REF_RD,LS1_WA02:BPM_D1188:YPOS_REF_RD,LS1_WA02:BPM_D1188:PHASE_REF_RD,LS1_WA02:BPM_D1188:MAG_REF_RD,LS1_WA02:BPM_D1188:XPOS_DRDREF,LS1_WA02:BPM_D1188:YPOS_DRDREF,LS1_WA02:BPM_D1188:PHASE_DRDREF,LS1_WA02:BPM_D1188:MAG_RATIO
